,alpha,std2,delta,pdf_type,h,ARL0,ARL1,CompTime
0,0.6,3.0,0.5,Gaussian,1.9011981437736605,33.816523605150216,13.409090909090908,6.124291168851192e-06
1,0.6,3.0,0.5,Gaussian,2.3616841970759492,47.58410138248848,17.59465478841871,4.571034350889909e-06
2,0.6,3.0,0.5,Gaussian,2.8221702503782384,72.33979475484607,21.37344398340249,3.470735622180747e-06
3,0.6,3.0,0.5,Gaussian,3.282656303680527,96.75305895439377,25.84687868080094,3.4830382584252313e-06
4,0.6,3.0,0.5,Gaussian,3.7431423569828164,126.68811341330425,30.30310262529833,3.085964953736588e-06
5,0.6,3.0,0.5,Gaussian,4.203628410285106,176.32423580786025,36.50349650349651,2.54611521411326e-06
6,0.6,3.0,0.5,Gaussian,4.664114463587394,242.8976897689769,39.02469135802469,2.426234010067738e-06
7,0.6,3.0,0.5,Gaussian,5.124600516889683,303.5763813651138,43.70573566084788,2.394421663040856e-06
8,0.6,3.0,0.5,Gaussian,5.585086570191972,376.9498861047836,48.94473007712082,2.021457648430203e-06
9,0.6,3.0,0.5,Gaussian,6.045572623494261,476.65421558164354,54.96228868660598,2.328485835428099e-06
10,0.6,3.0,0.5,Bigaussian,1.095712545110812,33.15783783783784,9.366817155756207,2.0268990541260692e-05
11,0.6,3.0,0.5,Bigaussian,1.3191473620854506,47.714285714285715,12.884210526315789,1.830488439795913e-05
12,0.6,3.0,0.5,Bigaussian,1.5425821790600889,70.33680555555556,15.204406364749081,1.7561704178862234e-05
13,0.6,3.0,0.5,Bigaussian,1.7660169960347272,91.02031602708804,18.561824729891956,1.776668438739891e-05
14,0.6,3.0,0.5,Bigaussian,1.9894518130093657,128.2398190045249,22.124358974358973,1.7080118493834003e-05
15,0.6,3.0,0.5,Bigaussian,2.2128866299840038,171.84299262381455,24.905013192612138,1.7184850882288205e-05
16,0.6,3.0,0.5,Bigaussian,2.4363214469586425,214.3213909378293,27.54192740926158,1.7597539289625737e-05
17,0.6,3.0,0.5,Bigaussian,2.6597562639332812,291.2949407965554,31.392105263157895,1.6705901841466706e-05
18,0.6,3.0,0.5,Bigaussian,2.8831910809079195,395.01758014477764,35.58378378378379,1.7016738273331084e-05
19,0.6,3.0,0.5,Bigaussian,3.106625897882558,510.5451577801959,38.39671682626539,2.0367702696110006e-05
20,0.6,3.0,0.5,PWG,1.2052837996218937,27.943195266272188,9.421558164354323,9.185832512836224e-06
21,0.6,3.0,0.5,PWG,1.451062098293996,42.52695269526953,12.371004566210045,5.943643667345971e-06
22,0.6,3.0,0.5,PWG,1.6968403969660981,60.357743097238895,15.544289044289044,4.696123398164415e-06
23,0.6,3.0,0.5,PWG,1.9426186956382006,78.50746268656717,17.766355140186917,4.08079953768121e-06
24,0.6,3.0,0.5,PWG,2.1883969943103025,104.78083700440529,21.605813953488372,3.5666948970857232e-06
25,0.6,3.0,0.5,PWG,2.434175292982405,145.40551583248214,24.078703703703702,3.5295219383234747e-06
26,0.6,3.0,0.5,PWG,2.6799535916545074,178.38634046890928,26.37417654808959,3.5378303623248186e-06
27,0.6,3.0,0.5,PWG,2.9257318903266096,234.58397365532383,29.342741935483872,3.4255914543337043e-06
28,0.6,3.0,0.5,PWG,3.171510188998712,281.57227138643066,34.39622641509434,3.994102513431416e-06
29,0.6,3.0,0.5,PWG,3.417288487670814,398.98893805309734,37.63733333333333,3.7910232682771288e-06
30,0.6,3.0,1.0,Gaussian,3.2769882207013024,38.083044982698965,8.707466340269278,7.68447765983267e-06
31,0.6,3.0,1.0,Gaussian,3.837564632833682,52.43694690265487,9.59186189889026,5.5309970722975996e-06
32,0.6,3.0,1.0,Gaussian,4.398141044966062,75.10117145899893,11.237735849056603,4.940984675369044e-06
