,SNR,alpha,std2_rel,h_min_big,h_max_big,h_min_pwg,h_max_pwg,h_min_g,h_max_g
0,0.3,0.6,3.0,2.4859316864652556,5.892911321553615,2.7345248551117813,6.482202453708976,2.5225671182371205,5.517199001982434
1,0.3,0.6,6.0,2.606363218025557,5.6362447629980075,2.866999539828113,6.199869239297809,2.435400735275668,5.909692776759659
2,0.3,0.6,9.0,1.7283974990578987,7.011767205464487,1.9012372489636888,7.7129439260109365,2.626680576068491,5.787023676440676
3,0.3,0.7,3.0,2.71861128836671,5.122237241584198,2.9904724172033816,5.634460965742618,2.1587415283108076,6.033469754030473
4,0.3,0.7,6.0,1.251830769944009,8.145942787864113,1.3770138469384101,8.960537066650526,2.5880977563674454,6.055105266106779
5,0.3,0.7,9.0,1.982095836862057,5.732773036052209,2.1803054205482626,6.30605033965743,2.6298802943460804,6.450789110891274
6,0.3,0.8,3.0,2.5489707945806095,5.10919640560656,2.8038678740386707,5.620116046167216,2.2119383001404045,6.43079073726852
7,0.3,0.8,6.0,2.1522506114911866,5.6478721304956245,2.3674756726403055,6.212659343545187,2.7701743687786173,6.976887459922209
8,0.3,0.8,9.0,2.0949326755114033,4.9773664677128036,2.304425943062544,5.475103114484084,2.9326380523539495,6.65216251740453
9,0.3,0.9,3.0,2.4045700440617557,6.059251239427498,2.6450270484679312,6.665176363370248,2.329841014686754,6.485637398575842
10,0.3,0.9,6.0,2.3374912316255374,5.613266113102743,2.5712403547880913,6.174592724413017,3.199682054169784,7.067959146276271
11,0.3,0.9,9.0,2.426824196625397,8.033850978296032,2.6695066162879373,8.837236076125636,2.2017763847791976,8.939369851451062
12,0.5,0.6,3.0,2.2910290363375436,6.8507314498276255,2.5201319399712983,7.535804594810388,2.552592927610765,6.2714207918244025
13,0.5,0.6,6.0,1.6864408478890909,7.791687927106949,1.8550849326780001,8.570856719817645,2.682620854500339,7.332053299050691
14,0.5,0.6,9.0,1.5016472878952474,6.839209509483434,1.6518120166847723,7.523130460431778,2.991716566306205,6.627878325597251
15,0.5,0.7,3.0,1.8601324690489887,8.082510475196361,2.046145715953888,8.890761522715998,2.57775134007722,7.327218921090383
16,0.5,0.7,6.0,0.9110288708527953,8.377339833474423,1.0021317579380749,9.215073816821866,3.058994351037187,7.267457292130129
17,0.5,0.7,9.0,1.1084991280532785,6.262341574871753,1.2193490408586065,6.8885757323589285,3.0304401409207253,7.465888818046372
18,0.5,0.8,3.0,2.2219912073718993,6.324509294276708,2.4441903281090895,6.956960223704379,2.681901834154814,7.01675977337159
19,0.5,0.8,6.0,0.4283392528439822,6.369609463521549,0.4711731781283805,7.006570409873704,2.5374142326447737,8.995267248715946
20,0.5,0.8,9.0,3.30946515590112,4.6978929547876085,3.6404116714912322,5.1676822502663695,3.1175852369466086,8.988819825472952
21,0.5,0.9,3.0,2.2346164706186626,5.4822145649850285,2.4580781176805293,6.030436021483532,2.078266403854338,7.66167322134087
22,0.5,0.9,6.0,3.5716387759116417,4.248103077632697,3.928802653502806,4.672913385395967,2.818704235302952,10.10796362289299
23,0.5,0.9,9.0,2.444418794982622,9.22931607989693,2.6888606744808845,10.152247687886625,3.078831630312514,10.19820375255913
24,1.0,0.6,3.0,1.6063672535243976,6.813605089537203,1.7670039788768375,7.494965598490924,3.2878492545421687,7.409197684850516
25,1.0,0.6,6.0,0.6203193737792845,6.676804389251899,0.6823513111572129,7.344484828177089,3.039503158437975,7.8656712166664295
26,1.0,0.6,9.0,2.387201553391863,4.815029055825752,2.62592170873105,5.296531961408328,3.545509831044495,8.239043446587496
27,1.0,0.7,3.0,0.8680157748228372,7.727701297903812,0.954817352305121,8.500471427694194,2.556603464033324,8.984790808445435
28,1.0,0.7,6.0,0.4056556803131488,7.171981906056578,0.4462212483444637,7.889180096662236,3.677608835052019,8.703328287123187
29,1.0,0.7,9.0,3.3900044734485446,4.105731741682912,3.7290049207933995,4.516304915851204,4.000865792210376,9.120415476402455
30,1.0,0.8,3.0,2.311401727203156,4.849051004094517,2.5425418999234717,5.333956104503969,2.9736326260910215,8.75945218473531
31,1.0,0.8,6.0,3.43822345900746,3.8942167502492304,3.782045804908206,4.2836384252741535,3.746474295421308,9.901171138295723
32,1.0,0.8,9.0,3.1637686827357476,5.699955364246535,3.480145551009323,6.269950900671189,4.084552146109678,10.280209506674263
33,1.0,0.9,3.0,3.2973543494111928,4.052726749969032,3.627089784352312,4.457999424965935,2.852695506728637,9.6136090090153
34,1.0,0.9,6.0,2.9851286064032894,6.4104188657563705,3.2836414670436187,7.051460752332008,2.8262807467270004,13.46037937980299
35,1.0,0.9,9.0,1.4809603807271443,10.292642197146712,1.6290564187998589,11.321906416861385,3.7736053180052904,12.912165488512237
36,2.0,0.6,3.0,3.049330511433015,4.453059212849899,3.3542635625763166,4.898365134134889,3.3619732812918484,8.552507733552103
37,2.0,0.6,6.0,2.739312566924264,6.4687098697392456,3.0132438236166905,7.115580856713171,3.2351506881301977,9.739373993698495
38,2.0,0.6,9.0,1.7142798848003178,10.675930208245951,1.8857078732803496,11.743523229070547,3.643999112270124,9.787366480013585
39,2.0,0.7,3.0,3.302110673520103,4.601676302754326,3.6323217408721136,5.061843933029759,2.866171147035781,9.859364359538127
40,2.0,0.7,6.0,3.004893999292325,5.959376855384461,3.3053833992215575,6.555314540922907,3.3280853505802974,11.212495162023297
41,2.0,0.7,9.0,2.878076222376601,6.012868930835952,3.1658838446142616,6.614155823919548,3.306503186364718,11.843664089225022
42,2.0,0.8,3.0,3.4105231642795424,4.204544292795293,3.751575480707497,4.624998722074823,2.8008992277283213,11.158850654910646
43,2.0,0.8,6.0,3.60546114676429,4.636369293348244,3.9660072614407196,5.100006222683068,4.28482566740103,12.417711257896684
44,2.0,0.8,9.0,2.5252053133475485,7.534934832146075,2.7777258446823034,8.288428315360683,4.358053346127701,13.177109523447104
45,2.0,0.9,3.0,2.75525606494478,6.589418927713149,3.030781671439258,7.248360820484464,1.1553844813456076,13.74189689269538
46,2.0,0.9,6.0,2.1969242345409126,9.106265523746982,2.416616657995004,10.016892076121682,4.093011176638816,14.510336434808279
47,2.0,0.9,9.0,1.3296283488501712,11.711994775868472,1.4625911837351884,12.88319425345532,4.28498089715172,17.592787120062646
48,5.0,0.6,3.0,1.32,13.200000000000001,-0.33320974783844187,6.3373379821937,1.0886964405929624,8.853867609861657
49,5.0,0.6,6.0,1.32,13.200000000000001,-0.20169185704975193,5.842078170173142,1.9608316763903122,10.469307605426787
50,5.0,0.6,9.0,1.1950241467821414,3.6905931056786954,1.3145265614603556,4.059652416246565,1.2577145285432578,11.114018060652423
51,5.0,0.7,3.0,1.32,13.200000000000001,-0.126025927435532,6.642897272589047,0.9837931415565434,10.038784478241233
52,5.0,0.7,6.0,1.32,13.200000000000001,-44.735275680598335,64.09735420171742,2.968825748657806,11.608621301326512
53,5.0,0.7,9.0,1.32,13.200000000000001,-2.96362300248994,9.844021692126885,3.0830557639585656,12.869383342006213
54,5.0,0.8,3.0,0.4501138253603268,7.341516972045148,0.4951252078963595,8.075668669249664,1.3346745244519522,12.352628510723159
55,5.0,0.8,6.0,1.32,13.200000000000001,-6.616504673586388,24.056548430555473,1.1991106018341986,18.742701945844615
56,5.0,0.8,9.0,1.32,13.200000000000001,-12.55561339586292,38.95352760452263,2.271735748472807,19.815437455003806
57,5.0,0.9,3.0,1.32,13.200000000000001,-0.17676982213670775,10.769909108778036,1.4665200000000003,14.665200000000002
58,5.0,0.9,6.0,1.32,13.200000000000001,-0.2814240622302176,13.18866300545762,0.6922156739916884,23.5934825376475
59,5.0,0.9,9.0,1.32,13.200000000000001,-2.1111614931292237,13.077529589925307,0.8184439277307197,25.688310806934737
60,10.0,0.6,3.0,1.32,13.200000000000001,-2.456728984161307,2.959245371171654,1.4665200000000003,14.665200000000002
61,10.0,0.6,6.0,0.45217209115499474,3.0449875588719464,0.4973893002704943,3.349486314759141,1.4665200000000003,14.665200000000002
62,10.0,0.6,9.0,1.32,13.200000000000001,-2.240033625082587,3.6514855520504663,1.4665200000000003,14.665200000000002
63,10.0,0.7,3.0,1.32,13.200000000000001,-0.9216987039906356,3.3234047675463496,1.4665200000000003,14.665200000000002
64,10.0,0.7,6.0,1.32,13.200000000000001,-1.3809658714902096,3.9384734801360404,1.4665200000000003,14.665200000000002
65,10.0,0.7,9.0,1.32,13.200000000000001,-0.08508694419065682,3.798261061469033,1.4665200000000003,14.665200000000002
66,10.0,0.8,3.0,1.32,13.200000000000001,-2.9373154418129035,3.672949705595544,1.4665200000000003,14.665200000000002
67,10.0,0.8,6.0,1.32,13.200000000000001,-0.5870806836151802,3.826212160165984,1.4665200000000003,14.665200000000002
68,10.0,0.8,9.0,1.32,13.200000000000001,-0.07287767437085778,3.756033929794035,1.7744892000000008,17.744892000000007
69,10.0,0.9,3.0,1.32,13.200000000000001,-3.848801137669521,5.490963501144492,1.4665200000000003,14.665200000000002
70,10.0,0.9,6.0,1.32,13.200000000000001,-4.274229765599149,8.163319755013271,1.4665200000000003,14.665200000000002
71,10.0,0.9,9.0,1.32,13.200000000000001,-5.941826962982547,9.694813766282861,2.147131932000001,21.47131932000001
